Program,Organization,Type,Rating,Difficulty,Students,Students_old
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,Specialization,4.7,Beginner,5300,5.3k
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,Course,4.7,Intermediate,17000,17k
A Crash Course in Data Science,Johns Hopkins University,Course,4.5,Mixed,130000,130k
A Law Student's Toolkit,Yale University,Course,4.7,Mixed,91000,91k
A Life of Happiness and Fulfillment,Indian School of Business,Course,4.8,Mixed,320000,320k
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,Course,4.7,Beginner,39000,39k
AI For Everyone,deeplearning.ai,Course,4.8,Beginner,350000,350k
AI For Medical Treatment,deeplearning.ai,Course,4.8,Intermediate,2400,2.4k
AI Foundations for Everyone,IBM,Specialization,4.7,Beginner,61000,61k
AI for Medical Diagnosis,deeplearning.ai,Course,4.7,Intermediate,12000,12k
AI for Medical Prognosis,deeplearning.ai,Course,4.6,Intermediate,4000,4k
AI for Medicine,deeplearning.ai,Specialization,4.7,Intermediate,13000,13k
AWS Fundamentals,Amazon Web Services,Specialization,4.6,Beginner,130000,130k
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,Course,4.3,Beginner,11000,11k
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,Course,4.7,Beginner,27000,27k
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,Course,4.7,Beginner,110000,110k
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,Course,4.5,Intermediate,13000,13k
Aboriginal Worldviews and Education,University of Toronto,Course,4.7,Mixed,6600,6.6k
Academic English: Writing,"University of California, Irvine",Specialization,4.7,Beginner,540000,540k
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,Specialization,4.7,Intermediate,22000,22k
Access Controls,(ISC)²,Course,4.6,Beginner,2900,2.9k
Accounting Analytics,University of Pennsylvania,Course,4.5,Mixed,80000,80k
Accounting for Decision Making,University of Michigan,Course,4.8,Intermediate,9900,9.9k
Achieving Personal and Professional Success,University of Pennsylvania,Specialization,4.7,Beginner,110000,110k
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,Course,4.8,Mixed,23000,23k
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,Course,4.8,Beginner,9200,9.2k
Advanced Business Analytics,University of Colorado Boulder,Specialization,4.5,Intermediate,78000,78k
Advanced Data Science with IBM,IBM,Specialization,4.4,Advanced,320000,320k
Advanced Machine Learning,National Research University Higher School of Economics,Specialization,4.5,Advanced,190000,190k
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,Specialization,4.5,Advanced,35000,35k
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,Course,4.7,Advanced,29000,29k
Advertising and Society,Duke University,Course,4.8,Mixed,14000,14k
Age of Cathedrals,Yale University,Course,4.7,Beginner,21000,21k
Agile Development,University of Virginia,Specialization,4.7,Beginner,94000,94k
Agile Meets Design Thinking,University of Virginia,Course,4.7,Beginner,69000,69k
Agile with Atlassian Jira,Atlassian,Course,4.7,Beginner,40000,40k
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,Course,4.9,Beginner,12000,12k
Algorithmic Toolbox,University of California San Diego,Course,4.7,Intermediate,220000,220k
Algorithms,Stanford University,Specialization,4.8,Intermediate,150000,150k
Algorithms for Battery Management Systems,University of Colorado System,Specialization,4.8,Intermediate,14000,14k
American Contract Law I,Yale University,Course,4.9,Beginner,18000,18k
An Introduction to American Law,University of Pennsylvania,Course,4.8,Beginner,23000,23k
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,Course,4.7,Beginner,69000,69k
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",Specialization,4.6,Beginner,270000,270k
Analysing: Numeric and digital literacies,Macquarie University,Specialization,4.6,Beginner,7900,7.9k
Anatomy,University of Michigan,Specialization,4.8,Beginner,30000,30k
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,Course,4.8,Intermediate,36000,36k
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,Course,4.8,Beginner,20000,20k
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,Course,4.8,Mixed,8100,8.1k
Android App Development,Vanderbilt University,Specialization,4.5,Beginner,120000,120k
Animal Behaviour and Welfare,The University of Edinburgh,Course,4.8,Mixed,71000,71k
Antibiotic Stewardship,Stanford University,Course,4.5,Advanced,11000,11k
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,Course,4.8,Beginner,11000,11k
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),Course,4.6,Intermediate,63000,63k
Applied Data Science,IBM,Specialization,4.6,Beginner,220000,220k
Applied Data Science Capstone,IBM,Course,4.7,Intermediate,42000,42k
Applied Data Science with Python,University of Michigan,Specialization,4.5,Intermediate,480000,480k
Applied Machine Learning in Python,University of Michigan,Course,4.6,Intermediate,150000,150k
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,Course,4.6,Intermediate,97000,97k
Aprende a programar con Python,Universidad Austral,Specialization,4.2,Beginner,6600,6.6k
Aprender,Universidad Nacional Autónoma de México,Course,4.8,Mixed,200000,200k
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,Course,4.9,Beginner,180000,180k
Architecting with Google Cloud Platform 日本語版,Google Cloud,Specialization,4.5,Intermediate,4200,4.2k
Architecting with Google Compute Engine,Google Cloud,Specialization,4.7,Intermediate,310000,310k
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,Specialization,4.5,Beginner,3900,3.9k
Arizona State University TESOL,Arizona State University,Professional certificate,4.9,Beginner,150000,150k
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,Course,4.8,Mixed,79000,79k
Art & Ideas: Teaching with Themes,The Museum of Modern Art,Course,4.8,Mixed,31000,31k
Arts and Culture Strategy,National Arts Strategies,Course,4.6,Mixed,15000,15k
Arts and Heritage Management,Università Bocconi,Course,4.8,Mixed,15000,15k
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,Course,4.9,Beginner,10000,10k
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,Course,4.7,Mixed,66000,66k
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,Course,4.8,Intermediate,33000,33k
Autism Spectrum Disorder,"University of California, Davis",Course,4.6,Mixed,56000,56k
Autodesk CAD/CAM for Manufacturing,Autodesk,Specialization,4.8,Intermediate,7300,7.3k
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,Specialization,4.8,Intermediate,9200,9.2k
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,Course,4.7,Advanced,22000,22k
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,Course,4.7,Advanced,9700,9.7k
BIM Fundamentals for Engineers,National Taiwan University,Course,4.6,Beginner,13000,13k
Basic Statistics,University of Amsterdam,Course,4.6,Beginner,180000,180k
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",Course,4.8,Intermediate,91000,91k
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",Course,4.8,Intermediate,29000,29k
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Course,4.9,Mixed,210000,210k
Become a Journalist: Report the News!,Michigan State University,Specialization,4.7,Beginner,28000,28k
Become a Sustainable Business Change Agent,University of Colorado System,Specialization,4.7,Intermediate,4200,4.2k
Becoming a Sports Agent,Case Western Reserve University,Course,4.7,Beginner,6500,6.5k
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,Course,4.8,Beginner,61000,61k
Behavioral Finance,Duke University,Course,4.4,Mixed,55000,55k
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,Course,4.6,Mixed,2300,2.3k
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,Specialization,4.5,Beginner,8800,8.8k
Biohacking Your Brain's Health,Emory University,Course,4.6,Beginner,35000,35k
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,Course,4.4,Beginner,88000,88k
Biostatistics in Public Health,Johns Hopkins University,Specialization,4.8,Beginner,14000,14k
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,Course,4.8,Intermediate,1900,1.9k
Blockchain,University at Buffalo,Specialization,4.6,Intermediate,68000,68k
Blockchain Revolution,INSEAD,Specialization,4.7,Beginner,21000,21k
Blockchain Revolution in Financial Services,INSEAD,Specialization,4.6,Beginner,1600,1.6k
Blockchain: Foundations and Use Cases,ConsenSys Academy,Course,4.7,Beginner,31000,31k
Boosting Creativity for Innovation,HEC Paris,Course,4.9,Beginner,9500,9.5k
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,Course,4.9,Beginner,57000,57k
Branding: The Creative Journey,IE Business School,Specialization,4.6,Beginner,26000,26k
Budgeting and Scheduling Projects,"University of California, Irvine",Course,4.7,Mixed,84000,84k
Bugs 101: Insect-Human Interactions,University of Alberta,Course,4.9,Beginner,15000,15k
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,Course,4.9,Mixed,95000,95k
Building Batch Data Pipelines on GCP,Google Cloud,Course,4.5,Intermediate,7300,7.3k
Building Conversational Experiences with Dialogflow,Google Cloud,Course,4.5,Beginner,22000,22k
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,Course,4.6,Intermediate,5800,5.8k
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,Course,4.3,Intermediate,24000,24k
Building Your Leadership Skills,HEC Paris,Course,4.5,Mixed,67000,67k
Business Analytics,University of Pennsylvania,Specialization,4.6,Beginner,280000,280k
Business English,Arizona State University,Specialization,4.7,Intermediate,38000,38k
Business English Communication Skills,University of Washington,Specialization,4.7,Intermediate,120000,120k
Business English: Networking,University of Washington,Course,4.7,Intermediate,77000,77k
Business Foundations,University of Pennsylvania,Specialization,4.7,Beginner,510000,510k
Business Model Innovation,HEC Paris,Course,4.7,Mixed,13000,13k
Business Statistics and Analysis,Rice University,Specialization,4.7,Beginner,110000,110k
Business Strategies for A Better World,University of Pennsylvania,Specialization,4.7,Beginner,24000,24k
Business Strategy,University of Virginia,Specialization,4.7,Beginner,89000,89k
Business Technology Management,Indian School of Business,Specialization,4.5,Beginner,67000,67k
Business Transformation with Google Cloud,Google Cloud,Course,4.7,Beginner,10000,10k
Business Writing,University of Colorado Boulder,Course,4.8,Beginner,48000,48k
Business and Financial Modeling,University of Pennsylvania,Specialization,4.5,Beginner,160000,160k
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",Course,4.5,Beginner,31000,31k
C# Programming for Unity Game Development,University of Colorado System,Specialization,4.7,Beginner,36000,36k
COVID-19 Contact Tracing,Johns Hopkins University,Course,4.9,Beginner,220000,220k
COVID-19: What You Need to Know (CME Eligible),Osmosis,Course,4.8,Beginner,32000,32k
"Cameras, Exposure, and Photography",Michigan State University,Course,4.7,Mixed,130000,130k
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,Course,4.7,Beginner,340000,340k
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,Course,4.6,Mixed,82000,82k
Career Success,"University of California, Irvine",Specialization,4.4,Beginner,790000,790k
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,Course,4.8,Beginner,31000,31k
Chemicals and Health,Johns Hopkins University,Course,4.7,Beginner,23000,23k
Chicken Behaviour and Welfare,The University of Edinburgh,Course,4.7,Mixed,19000,19k
Child Nutrition and Cooking,Stanford University,Course,4.7,Beginner,30000,30k
Chinese for HSK 1,Peking University,Course,4.8,Beginner,22000,22k
Cisco Networking Basics,Cisco,Specialization,4.7,Beginner,57000,57k
Classical Sociological Theory,University of Amsterdam,Course,4.8,Mixed,51000,51k
Claves de la Dirección de Empresas,IESE Business School,Specialization,4.8,Beginner,51000,51k
Climate Change and Health: From Science to Action,Yale University,Specialization,4.6,Beginner,4800,4.8k
Clinical Terminology for International and U.S. Students,University of Pittsburgh,Course,4.8,Beginner,32000,32k
Cloud Computing,University of Illinois at Urbana-Champaign,Specialization,4.4,Intermediate,110000,110k
Cloud Computing Basics (Cloud 101),LearnQuest,Course,4.5,Beginner,37000,37k
Cloud Engineering with Google Cloud,Google Cloud,Professional certificate,4.7,Intermediate,310000,310k
Coaching Skills for Managers,"University of California, Davis",Specialization,4.7,Intermediate,37000,37k
Code Yourself! An Introduction to Programming,The University of Edinburgh,Course,4.7,Beginner,120000,120k
Communication Skills for Engineers,Rice University,Specialization,4.7,Beginner,15000,15k
Communication Strategies for a Virtual Age,University of Toronto,Course,4.8,Beginner,43000,43k
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,Course,4.9,Beginner,6400,6.4k
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,Course,4.7,Beginner,43000,43k
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),Specialization,4.7,Intermediate,350000,350k
Computational Social Science,"University of California, Davis",Specialization,4.6,Beginner,5800,5.8k
Computational Thinking for Problem Solving,University of Pennsylvania,Course,4.8,Beginner,33000,33k
Computer Security and Systems Management,University of Colorado System,Specialization,4.6,Beginner,27000,27k
Conflict Management,"University of California, Irvine",Specialization,4.3,Beginner,66000,66k
Construction Cost Estimating and Cost Control,Columbia University,Course,4.7,Beginner,19000,19k
Construction Management,Columbia University,Specialization,4.7,Beginner,61000,61k
Construction Project Management,Columbia University,Course,4.8,Beginner,43000,43k
Construction Scheduling,Columbia University,Course,4.8,Beginner,15000,15k
Contabilidad para no contadores,Universidad Nacional Autónoma de México,Course,4.7,Beginner,220000,220k
Content Strategy for Professionals,Northwestern University,Specialization,4.5,Beginner,27000,27k
Continuous Delivery & DevOps,University of Virginia,Course,4.6,Beginner,26000,26k
Control of Mobile Robots,Georgia Institute of Technology,Course,4.8,Mixed,49000,49k
Convolutional Neural Networks,deeplearning.ai,Course,4.9,Intermediate,240000,240k
Convolutional Neural Networks in TensorFlow,deeplearning.ai,Course,4.7,Intermediate,46000,46k
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,Course,4.8,Intermediate,10000,10k
Corporate Finance Essentials,IESE Business School,Course,4.8,Mixed,56000,56k
Corporate Strategy,UCL School of Management,Course,4.8,Beginner,7800,7.8k
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,Course,4.6,Mixed,10000,10k
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,Course,4.6,Beginner,75000,75k
Cost and Economics in Pricing Strategy,University of Virginia,Course,4.8,Beginner,15000,15k
Costos para los Negocios,Universidad de Chile,Course,4.8,Intermediate,43000,43k
Crash Course on Python,Google,Course,4.8,Beginner,81000,81k
Creative Problem Solving,University of Minnesota,Course,4.3,Mixed,140000,140k
Creative Writing,Wesleyan University,Specialization,4.6,Beginner,140000,140k
Creative Writing: The Craft of Plot,Wesleyan University,Course,4.7,Mixed,120000,120k
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,Specialization,4.7,Beginner,150000,150k
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,Course,4.8,Intermediate,26000,26k
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,Course,4.8,Intermediate,22000,22k
Culture-Driven Team Building,University of Pennsylvania,Specialization,4.6,Beginner,17000,17k
Curanderismo: Traditional Healing Using Plants,University of New Mexico,Course,4.6,Beginner,5500,5.5k
Customer Segmentation and Prospecting,Northwestern University,Course,4.7,Beginner,18000,18k
Cybersecurity,"University of Maryland, College Park",Specialization,4.5,Intermediate,99000,99k
Cybersecurity and Its Ten Domains,University System of Georgia,Course,4.2,Beginner,140000,140k
Cybersecurity for Business,University of Colorado System,Specialization,4.6,Beginner,23000,23k
Cómo hablar bien en público,Universitat Autònoma de Barcelona,Course,4.8,Beginner,55000,55k
Dairy Production and Management,The Pennsylvania State University,Course,4.8,Mixed,23000,23k
Data Analysis and Interpretation,Wesleyan University,Specialization,4.4,Beginner,100000,100k
Data Analysis and Presentation Skills: the PwC Approach,PwC,Specialization,4.6,Beginner,220000,220k
Data Analysis with Python,IBM,Course,4.7,Beginner,110000,110k
Data Analytics for Lean Six Sigma,University of Amsterdam,Course,4.8,Beginner,24000,24k
Data Collection and Processing with Python,University of Michigan,Course,4.7,Intermediate,19000,19k
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,Specialization,4.4,Intermediate,3000,3k
Data Engineering with Google Cloud,Google Cloud,Professional certificate,4.6,Intermediate,120000,120k
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,Specialization,4.6,Intermediate,120000,120k
Data Management for Clinical Research,Vanderbilt University,Course,4.7,Beginner,42000,42k
